comments,rank,score,age,title_length
37.0,1.0,215,5.0,68
11.0,2.0,22,0.9333333333333333,51
12.0,3.0,18,0.9833333333333333,47
126.0,4.0,162,5.0,60
261.0,5.0,596,11.0,37
65.0,6.0,156,3.0,11
4.0,7.0,24,2.0,66
18.0,8.0,73,6.0,70
15.0,9.0,77,5.0,52
3.0,10.0,61,4.0,33
NA,11.0,6,1.0,56
254.0,12.0,432,8.0,39
7.0,13.0,70,5.0,30
37.0,14.0,48,4.0,24
80.0,15.0,204,13.0,32
1.0,16.0,37,5.0,56
30.0,17.0,58,7.0,33
20.0,18.0,94,9.0,68
59.0,19.0,167,12.0,49
43.0,20.0,127,11.0,70
9.0,21.0,42,6.0,46
12.0,22.0,25,5.0,63
20.0,23.0,27,1.0,43
1.0,24.0,7,2.0,73
1.0,25.0,12,4.0,39
22.0,26.0,47,8.0,44
62.0,27.0,131,12.0,65
46.0,28.0,88,6.0,48
2.0,29.0,30,7.0,40
32.0,30.0,33,3.0,66
32.0,31.0,33,3.0,66
5.0,32.0,7,2.0,55
91.0,33.0,212,9.0,62
332.0,34.0,458,20.0,76
57.0,35.0,69,5.0,56
208.0,36.0,1466,1.0,60
NA,37.0,4,0.9333333333333333,63
NA,38.0,0,5.0,33
19.0,39.0,79,10.0,49
60.0,40.0,145,11.0,69
1.0,41.0,25,9.0,61
9.0,42.0,55,9.0,56
2.0,43.0,6,1.0,69
55.0,44.0,199,15.0,15
69.0,45.0,136,NA,52
2.0,46.0,53,7.0,59
NA,47.0,3,4.0,62
11.0,48.0,36,4.0,65
15.0,49.0,18,11.0,43
71.0,50.0,127,12.0,32
307.0,51.0,284,10.0,33
NA,52.0,9,3.0,67
149.0,53.0,352,15.0,80
74.0,54.0,283,13.0,53
21.0,55.0,153,20.0,16
3.0,56.0,8,2.0,50
61.0,57.0,168,18.0,74
4.0,58.0,17,5.0,34
119.0,59.0,192,8.0,56
44.0,60.0,223,1.0,75
5.0,61.0,20,5.0,36
NA,62.0,3,NA,64
17.0,63.0,200,1.0,42
74.0,64.0,127,11.0,58
NA,65.0,13,7.0,45
346.0,66.0,433,1.0,74
1.0,67.0,10,5.0,53
84.0,68.0,168,1.0,31
152.0,69.0,100,9.0,29
48.0,70.0,52,9.0,58
130.0,71.0,180,1.0,41
87.0,72.0,63,5.0,64
100.0,73.0,307,1.0,31
35.0,74.0,139,1.0,77
182.0,75.0,476,1.0,78
129.0,76.0,138,20.0,33
15.0,77.0,110,1.0,48
NA,78.0,14,17.0,45
28.0,79.0,127,1.0,71
51.0,80.0,110,10.0,62
NA,81.0,10,15.0,59
151.0,82.0,173,NA,75
2.0,83.0,5,10.0,68
121.0,84.0,249,1.0,60
182.0,85.0,328,22.0,62
NA,86.0,3,3.0,66
NA,87.0,27,1.0,47
11.0,88.0,30,1.0,49
636.0,89.0,1489,48.0,13
71.0,90.0,170,18.0,57
71.0,91.0,170,18.0,57
58.0,92.0,203,1.0,35
4.0,93.0,81,1.0,50
NA,94.0,3,11.0,31
25.0,95.0,133,1.0,48
20.0,96.0,96,1.0,66
84.0,97.0,310,48.0,41
30.0,98.0,117,1.0,46
74.0,99.0,121,1.0,40
449.0,100.0,324,14.0,56
58.0,101.0,233,1.0,31
26.0,102.0,20,1.0,60
8.0,103.0,53,1.0,80
116.0,104.0,111,8.0,66
18.0,105.0,38,14.0,57
65.0,106.0,179,1.0,26
NA,107.0,3,13.0,45
NA,108.0,3,13.0,45
35.0,109.0,28,1.0,55
202.0,110.0,657,1.0,63
302.0,111.0,343,48.0,39
62.0,112.0,165,1.0,30
222.0,113.0,387,1.0,22
56.0,114.0,59,1.0,60
53.0,115.0,78,10.0,68
157.0,116.0,195,1.0,56
18.0,117.0,61,1.0,43
6.0,118.0,12,1.0,63
444.0,119.0,661,48.0,32
34.0,120.0,55,1.0,28
1.0,121.0,40,1.0,78
5.0,122.0,21,1.0,74
2.0,123.0,42,20.0,68
180.0,124.0,247,1.0,19
55.0,125.0,116,1.0,49
410.0,126.0,515,NA,58
132.0,127.0,238,1.0,36
142.0,128.0,238,NA,69
133.0,129.0,163,1.0,54
39.0,130.0,76,1.0,62
224.0,131.0,258,1.0,71
NA,132.0,19,1.0,40
3.0,133.0,21,1.0,50
NA,134.0,13,1.0,51
10.0,135.0,36,1.0,56
85.0,136.0,395,1.0,41
15.0,137.0,180,48.0,51
24.0,138.0,57,1.0,61
54.0,139.0,104,1.0,65
NA,140.0,5,8.0,40
63.0,141.0,111,1.0,56
20.0,142.0,23,18.0,35
52.0,143.0,145,48.0,38
5.0,144.0,45,1.0,41
48.0,145.0,113,48.0,22
276.0,146.0,397,1.0,67
19.0,147.0,94,1.0,32
28.0,148.0,47,1.0,27
72.0,149.0,265,48.0,38
82.0,150.0,97,1.0,73
