comments,rank,score,age,title_length
34.0,1.0,79,1.0,60
84.0,2.0,294,5.0,78
120.0,3.0,991,12.0,60
129.0,4.0,186,8.0,62
39.0,5.0,125,7.0,75
4.0,6.0,55,4.0,42
33.0,7.0,68,5.0,31
5.0,8.0,21,2.0,80
10.0,9.0,69,6.0,66
9.0,10.0,63,5.0,77
NA,11.0,0,0.7166666666666667,81
55.0,12.0,85,5.0,41
10.0,13.0,38,4.0,40
17.0,14.0,134,5.0,31
291.0,15.0,347,11.0,74
22.0,16.0,80,8.0,71
137.0,17.0,142,NA,75
97.0,18.0,260,15.0,31
15.0,19.0,25,4.0,60
NA,20.0,8,2.0,50
11.0,21.0,59,7.0,46
NA,22.0,5,2.0,63
NA,23.0,8,3.0,74
19.0,24.0,34,7.0,28
171.0,25.0,493,8.0,63
14.0,26.0,78,9.0,48
NA,27.0,22,4.0,48
137.0,28.0,175,13.0,56
114.0,29.0,182,8.0,36
11.0,30.0,38,8.0,27
22.0,31.0,48,10.0,61
44.0,32.0,140,6.0,35
78.0,33.0,90,12.0,73
112.0,34.0,202,NA,69
268.0,35.0,380,12.0,67
3.0,36.0,20,1.0,66
112.0,37.0,137,13.0,38
145.0,38.0,202,6.0,19
96.0,39.0,104,13.0,44
130.0,40.0,177,5.0,41
28.0,41.0,24,8.0,55
2.0,42.0,25,4.0,41
NA,43.0,22,11.0,55
1.0,44.0,11,2.0,62
116.0,45.0,167,12.0,23
1.0,46.0,22,4.0,73
97.0,47.0,244,21.0,60
6.0,48.0,7,6.0,60
67.0,49.0,144,6.0,78
62.0,50.0,169,17.0,26
4.0,51.0,27,5.0,32
193.0,52.0,233,13.0,71
NA,53.0,8,2.0,78
NA,54.0,11,11.0,51
11.0,55.0,10,3.0,63
53.0,56.0,92,11.0,65
207.0,57.0,365,17.0,22
47.0,58.0,100,13.0,49
NA,59.0,17,14.0,40
83.0,60.0,303,1.0,41
623.0,61.0,1467,1.0,13
NA,62.0,9,10.0,47
207.0,63.0,768,48.0,68
10.0,64.0,10,NA,56
36.0,65.0,71,16.0,62
56.0,66.0,158,1.0,30
391.0,67.0,466,NA,58
19.0,68.0,87,16.0,32
NA,69.0,11,4.0,21
129.0,70.0,156,18.0,54
107.0,71.0,113,10.0,71
2.0,72.0,14,12.0,50
16.0,73.0,55,10.0,59
3.0,74.0,27,6.0,80
17.0,75.0,49,22.0,43
31.0,76.0,105,16.0,44
6.0,77.0,35,22.0,56
409.0,78.0,642,1.0,32
298.0,79.0,338,1.0,39
10.0,80.0,22,16.0,23
78.0,81.0,386,1.0,41
46.0,82.0,309,1.0,70
NA,83.0,7,3.0,78
23.0,84.0,75,7.0,22
31.0,85.0,87,18.0,67
33.0,86.0,88,13.0,22
8.0,87.0,33,NA,59
14.0,88.0,176,1.0,51
NA,89.0,5,3.0,76
NA,90.0,6,5.0,80
60.0,91.0,108,1.0,56
1.0,92.0,17,7.0,74
47.0,93.0,107,1.0,22
2.0,94.0,5,3.0,71
72.0,95.0,261,1.0,38
51.0,96.0,143,1.0,38
160.0,97.0,448,48.0,55
3.0,98.0,12,7.0,38
22.0,99.0,76,17.0,69
6.0,100.0,14,7.0,76
28.0,101.0,155,1.0,39
3.0,102.0,5,4.0,77
1.0,103.0,6,5.0,74
39.0,104.0,110,1.0,49
237.0,105.0,298,17.0,55
9.0,106.0,49,21.0,32
220.0,107.0,392,1.0,77
73.0,108.0,99,23.0,80
NA,109.0,17,1.0,36
31.0,110.0,118,1.0,31
110.0,111.0,371,48.0,38
7.0,112.0,29,1.0,32
42.0,113.0,89,1.0,47
58.0,114.0,150,1.0,61
17.0,115.0,30,13.0,34
1.0,116.0,17,1.0,80
2.0,117.0,20,12.0,76
40.0,118.0,75,14.0,23
44.0,119.0,76,1.0,33
57.0,120.0,259,1.0,35
112.0,121.0,418,48.0,23
8.0,122.0,105,1.0,42
49.0,123.0,258,1.0,17
NA,124.0,5,4.0,53
NA,125.0,13,20.0,44
67.0,126.0,694,72.0,39
1.0,127.0,9,8.0,70
179.0,128.0,348,48.0,37
435.0,129.0,220,1.0,48
31.0,130.0,198,1.0,28
127.0,131.0,233,48.0,38
NA,132.0,6,NA,74
186.0,133.0,315,48.0,28
2.0,134.0,4,5.0,73
16.0,135.0,92,1.0,21
21.0,136.0,65,1.0,60
NA,137.0,6,14.0,58
NA,138.0,7,7.0,53
8.0,139.0,32,10.0,73
NA,140.0,16,11.0,31
210.0,141.0,287,1.0,56
7.0,142.0,63,1.0,47
NA,143.0,4,15.0,34
100.0,144.0,82,13.0,33
3.0,145.0,19,1.0,18
NA,146.0,5,9.0,56
30.0,147.0,487,48.0,35
NA,148.0,7,9.0,72
78.0,149.0,333,1.0,72
33.0,150.0,239,NA,59
