comments,rank,score,age,title_length
25.0,1.0,147,4.0,41
518.0,2.0,1103,9.0,13
222.0,3.0,378,7.0,32
23.0,4.0,97,7.0,39
11.0,5.0,28,3.0,22
NA,6.0,4,0.6166666666666667,80
33.0,7.0,80,8.0,49
172.0,8.0,336,9.0,77
34.0,9.0,96,9.0,38
49.0,10.0,207,8.0,35
32.0,11.0,148,5.0,38
21.0,12.0,77,8.0,31
NA,13.0,0,1.0,23
311.0,14.0,166,9.0,48
142.0,15.0,199,8.0,56
3.0,16.0,29,5.0,60
56.0,17.0,134,14.0,61
504.0,18.0,349,8.0,29
7.0,19.0,60,8.0,42
28.0,20.0,81,6.0,32
8.0,21.0,62,10.0,21
5.0,22.0,7,3.0,47
7.0,23.0,51,11.0,47
14.0,24.0,76,6.0,56
22.0,25.0,108,6.0,9
11.0,26.0,33,7.0,62
62.0,27.0,72,1.0,62
73.0,28.0,304,12.0,72
247.0,29.0,267,11.0,39
8.0,30.0,25,8.0,20
196.0,31.0,697,1.0,68
43.0,32.0,281,17.0,70
2.0,33.0,7,1.0,56
5.0,34.0,7,1.0,68
60.0,35.0,84,7.0,70
98.0,36.0,75,10.0,56
30.0,37.0,72,10.0,36
1.0,38.0,14,9.0,59
139.0,39.0,239,10.0,31
1.0,40.0,11,8.0,32
22.0,41.0,136,11.0,64
2.0,42.0,12,9.0,18
2.0,43.0,10,3.0,54
NA,44.0,4,4.0,36
NA,45.0,13,2.0,76
19.0,46.0,51,9.0,57
NA,47.0,10,2.0,66
NA,48.0,4,1.0,54
37.0,49.0,41,10.0,46
159.0,50.0,430,1.0,55
2.0,51.0,17,12.0,30
NA,52.0,3,1.0,28
3.0,53.0,27,6.0,71
NA,54.0,7,3.0,58
46.0,55.0,244,22.0,17
3.0,56.0,12,11.0,72
NA,57.0,9,3.0,70
107.0,58.0,349,1.0,38
39.0,59.0,205,15.0,66
26.0,60.0,35,10.0,75
110.0,61.0,381,1.0,23
NA,62.0,3,2.0,62
101.0,63.0,102,12.0,61
123.0,64.0,229,1.0,38
NA,65.0,25,11.0,18
167.0,66.0,338,1.0,37
196.0,67.0,247,17.0,29
1.0,68.0,22,9.0,46
6.0,69.0,23,7.0,20
1.0,70.0,9,2.0,37
42.0,71.0,127,1.0,18
179.0,72.0,309,1.0,28
67.0,73.0,686,48.0,39
40.0,74.0,67,12.0,54
59.0,75.0,50,11.0,64
31.0,76.0,231,NA,59
14.0,77.0,42,8.0,72
30.0,78.0,483,1.0,35
62.0,79.0,117,1.0,31
NA,80.0,5,5.0,71
63.0,81.0,217,1.0,59
132.0,82.0,445,48.0,56
2.0,83.0,34,1.0,40
4.0,84.0,10,8.0,70
18.0,85.0,153,1.0,75
52.0,86.0,138,1.0,43
137.0,87.0,258,48.0,27
449.0,88.0,1713,1.0,41
67.0,89.0,159,1.0,44
25.0,90.0,196,48.0,37
6.0,91.0,86,1.0,74
72.0,92.0,150,1.0,64
14.0,93.0,113,1.0,18
32.0,94.0,62,1.0,71
96.0,95.0,394,18.0,51
128.0,96.0,105,1.0,43
132.0,97.0,305,1.0,37
20.0,98.0,79,1.0,54
4.0,99.0,27,1.0,35
67.0,100.0,117,1.0,34
36.0,101.0,56,1.0,72
NA,102.0,7,7.0,50
47.0,103.0,104,1.0,19
NA,104.0,6,9.0,61
64.0,105.0,140,48.0,32
115.0,106.0,106,1.0,74
22.0,107.0,166,1.0,25
5.0,108.0,90,48.0,21
8.0,109.0,31,1.0,52
101.0,110.0,224,48.0,69
270.0,111.0,247,1.0,56
33.0,112.0,98,1.0,28
19.0,113.0,114,1.0,53
40.0,114.0,152,1.0,57
109.0,115.0,107,1.0,57
93.0,116.0,295,1.0,71
7.0,117.0,190,48.0,40
NA,118.0,3,6.0,23
NA,119.0,6,8.0,69
51.0,120.0,213,16.0,80
98.0,121.0,235,48.0,29
59.0,122.0,165,1.0,77
13.0,123.0,63,1.0,56
4.0,124.0,18,1.0,73
15.0,125.0,27,1.0,68
538.0,126.0,507,NA,73
21.0,127.0,35,NA,76
85.0,128.0,72,16.0,18
7.0,129.0,46,48.0,47
23.0,130.0,82,1.0,29
66.0,131.0,193,48.0,52
1.0,132.0,38,1.0,33
39.0,133.0,191,48.0,32
8.0,134.0,7,NA,53
164.0,135.0,119,20.0,32
7.0,136.0,20,1.0,69
102.0,137.0,159,48.0,41
119.0,138.0,373,72.0,18
1.0,139.0,7,9.0,45
22.0,140.0,55,1.0,40
6.0,141.0,42,1.0,60
9.0,142.0,98,48.0,74
317.0,143.0,397,72.0,28
6.0,144.0,8,10.0,23
2.0,145.0,21,1.0,77
9.0,146.0,83,17.0,37
55.0,147.0,91,48.0,20
76.0,148.0,217,48.0,31
38.0,149.0,157,48.0,58
44.0,150.0,65,1.0,40
