comments,rank,score,age,title_length
8.0,1.0,26,0.75,58
195.0,2.0,279,3.0,39
40.0,3.0,141,7.0,49
10.0,4.0,54,3.0,68
4.0,5.0,17,1.0,33
45.0,6.0,111,7.0,65
313.0,7.0,439,14.0,76
1.0,8.0,7,1.0,40
8.0,9.0,34,3.0,58
7.0,10.0,16,2.0,44
127.0,11.0,93,4.0,33
3.0,12.0,5,0.7,70
1.0,13.0,6,1.0,24
229.0,14.0,256,4.0,33
51.0,15.0,180,9.0,15
111.0,16.0,332,5.0,37
52.0,17.0,156,4.0,62
87.0,18.0,93,2.0,66
5.0,19.0,37,3.0,56
129.0,20.0,311,10.0,80
10.0,21.0,60,4.0,49
48.0,22.0,126,5.0,69
19.0,23.0,149,14.0,16
38.0,24.0,106,5.0,62
NA,25.0,0,3.0,73
55.0,26.0,115,NA,52
62.0,27.0,153,7.0,32
98.0,28.0,165,3.0,56
203.0,29.0,1441,1.0,60
60.0,30.0,110,6.0,32
71.0,31.0,269,7.0,53
11.0,32.0,10,5.0,43
66.0,33.0,119,5.0,58
63.0,34.0,167,12.0,57
57.0,35.0,157,12.0,74
NA,36.0,5,1.0,59
NA,37.0,5,4.0,61
15.0,38.0,48,6.0,70
3.0,39.0,7,6.0,41
44.0,40.0,222,1.0,75
203.0,41.0,291,1.0,62
14.0,42.0,193,21.0,42
78.0,43.0,166,22.0,31
339.0,44.0,429,1.0,74
121.0,45.0,176,22.0,41
125.0,46.0,137,15.0,33
48.0,47.0,75,4.0,68
171.0,48.0,474,22.0,78
34.0,49.0,138,22.0,77
428.0,50.0,316,9.0,56
100.0,51.0,304,1.0,31
NA,52.0,4,3.0,40
9.0,53.0,31,2.0,67
NA,54.0,7,9.0,59
15.0,55.0,108,21.0,48
178.0,56.0,326,16.0,62
28.0,57.0,127,1.0,71
16.0,58.0,36,8.0,57
NA,59.0,11,12.0,45
8.0,60.0,25,20.0,49
149.0,61.0,172,NA,75
209.0,62.0,394,18.0,60
212.0,63.0,789,48.0,68
4.0,64.0,81,19.0,50
NA,65.0,27,1.0,47
55.0,66.0,203,23.0,35
117.0,67.0,248,1.0,60
8.0,68.0,52,19.0,80
20.0,69.0,96,23.0,66
25.0,70.0,132,1.0,48
58.0,71.0,233,22.0,31
29.0,72.0,117,1.0,46
46.0,73.0,167,4.0,36
635.0,74.0,1488,48.0,13
21.0,75.0,18,23.0,60
73.0,76.0,116,21.0,40
84.0,77.0,309,1.0,41
56.0,78.0,59,21.0,60
35.0,79.0,28,1.0,55
64.0,80.0,179,1.0,26
6.0,81.0,12,19.0,63
2.0,82.0,40,14.0,68
200.0,83.0,655,1.0,63
1.0,84.0,40,18.0,78
29.0,85.0,55,1.0,28
5.0,86.0,20,20.0,74
157.0,87.0,195,1.0,56
219.0,88.0,386,1.0,22
46.0,89.0,316,48.0,70
179.0,90.0,245,23.0,19
61.0,91.0,165,1.0,30
302.0,92.0,342,48.0,39
17.0,93.0,61,1.0,43
132.0,94.0,237,1.0,36
54.0,95.0,116,1.0,49
443.0,96.0,658,1.0,32
20.0,97.0,21,13.0,35
409.0,98.0,504,NA,58
142.0,99.0,235,NA,69
160.0,100.0,452,48.0,55
NA,101.0,13,1.0,51
NA,102.0,19,1.0,40
222.0,103.0,253,1.0,71
4.0,104.0,45,21.0,41
133.0,105.0,161,1.0,54
39.0,106.0,74,1.0,62
54.0,107.0,104,1.0,65
24.0,108.0,56,1.0,61
2.0,109.0,20,1.0,50
10.0,110.0,36,1.0,56
25.0,111.0,47,1.0,27
1.0,112.0,8,8.0,52
85.0,113.0,394,1.0,41
276.0,114.0,397,1.0,67
15.0,115.0,180,1.0,51
19.0,116.0,93,1.0,32
9.0,117.0,18,14.0,57
63.0,118.0,111,1.0,56
114.0,119.0,125,1.0,71
33.0,120.0,111,1.0,44
6.0,121.0,29,19.0,62
48.0,122.0,112,1.0,22
52.0,123.0,144,48.0,38
36.0,124.0,94,1.0,67
NA,125.0,17,14.0,79
82.0,126.0,96,1.0,73
110.0,127.0,375,48.0,38
NA,128.0,34,1.0,55
72.0,129.0,264,1.0,38
114.0,130.0,425,72.0,23
68.0,131.0,700,72.0,39
NA,132.0,3,6.0,66
130.0,133.0,150,1.0,38
59.0,134.0,82,14.0,60
2.0,135.0,31,21.0,73
39.0,136.0,112,48.0,49
29.0,137.0,157,1.0,39
11.0,138.0,23,1.0,23
68.0,139.0,166,23.0,78
163.0,140.0,210,22.0,41
221.0,141.0,395,48.0,77
58.0,142.0,152,48.0,61
49.0,143.0,264,48.0,17
NA,144.0,19,1.0,36
182.0,145.0,350,72.0,37
8.0,146.0,31,48.0,32
19.0,147.0,66,1.0,59
12.0,148.0,32,22.0,32
32.0,149.0,121,48.0,31
17.0,150.0,22,20.0,63
