comments,rank,score,age,title_length
16.0,1.0,43,1.0,58
115.0,2.0,346,6.0,37
207.0,3.0,291,3.0,39
2.0,4.0,11,0.1,56
7.0,5.0,22,2.0,33
NA,6.0,5,0.16666666666666666,60
62.0,7.0,157,7.0,32
11.0,8.0,59,4.0,68
40.0,9.0,143,7.0,49
9.0,10.0,24,2.0,44
1.0,11.0,10,1.0,40
317.0,12.0,442,14.0,76
49.0,13.0,114,7.0,65
NA,14.0,3,0.5333333333333333,30
11.0,15.0,37,3.0,58
51.0,16.0,183,10.0,15
52.0,17.0,163,4.0,62
8.0,18.0,16,3.0,24
239.0,19.0,260,4.0,33
128.0,20.0,314,10.0,80
5.0,21.0,40,3.0,56
12.0,22.0,60,4.0,49
49.0,23.0,130,5.0,69
19.0,24.0,150,15.0,16
58.0,25.0,117,NA,52
NA,26.0,0,3.0,73
204.0,27.0,1448,1.0,60
12.0,28.0,12,5.0,43
60.0,29.0,111,7.0,32
105.0,30.0,170,3.0,56
2.0,31.0,9,1.0,59
1.0,32.0,6,4.0,61
133.0,33.0,94,4.0,29
92.0,34.0,102,2.0,66
65.0,35.0,167,12.0,57
66.0,36.0,119,5.0,58
57.0,37.0,157,12.0,74
16.0,38.0,50,6.0,70
45.0,39.0,107,5.0,62
3.0,40.0,8,6.0,41
44.0,41.0,222,1.0,75
205.0,42.0,292,1.0,62
14.0,43.0,193,21.0,42
NA,44.0,6,1.0,46
78.0,45.0,166,22.0,31
340.0,46.0,429,1.0,74
121.0,47.0,176,22.0,41
125.0,48.0,137,15.0,33
172.0,49.0,474,22.0,78
34.0,50.0,138,22.0,77
100.0,51.0,305,1.0,31
430.0,52.0,317,9.0,56
50.0,53.0,75,5.0,68
NA,54.0,4,3.0,40
NA,55.0,3,2.0,45
NA,56.0,7,9.0,59
15.0,57.0,108,22.0,48
12.0,58.0,32,2.0,67
178.0,59.0,327,16.0,62
17.0,60.0,37,9.0,57
17.0,61.0,37,9.0,57
28.0,62.0,127,1.0,71
6.0,63.0,6,0.9666666666666667,70
149.0,64.0,172,NA,75
8.0,65.0,25,20.0,49
NA,66.0,12,12.0,45
209.0,67.0,395,18.0,60
212.0,68.0,789,48.0,68
4.0,69.0,81,20.0,50
NA,70.0,27,1.0,47
118.0,71.0,248,1.0,60
55.0,72.0,203,23.0,35
8.0,73.0,52,19.0,80
20.0,74.0,96,23.0,66
25.0,75.0,132,1.0,48
58.0,76.0,233,23.0,31
29.0,77.0,117,1.0,46
635.0,78.0,1488,48.0,13
46.0,79.0,168,4.0,36
21.0,80.0,19,1.0,60
73.0,81.0,116,21.0,40
84.0,82.0,309,1.0,41
35.0,83.0,28,1.0,55
64.0,84.0,179,1.0,26
56.0,85.0,59,21.0,60
6.0,86.0,12,19.0,63
200.0,87.0,656,1.0,63
2.0,88.0,40,14.0,68
1.0,89.0,40,19.0,78
29.0,90.0,55,1.0,28
5.0,91.0,20,20.0,74
157.0,92.0,195,1.0,56
219.0,93.0,386,1.0,22
46.0,94.0,316,48.0,70
61.0,95.0,165,1.0,30
179.0,96.0,245,1.0,19
302.0,97.0,342,48.0,39
17.0,98.0,61,1.0,43
132.0,99.0,237,1.0,36
54.0,100.0,116,1.0,49
443.0,101.0,658,48.0,32
409.0,102.0,505,NA,58
142.0,103.0,235,NA,69
20.0,104.0,21,13.0,35
160.0,105.0,452,48.0,55
223.0,106.0,254,1.0,71
NA,107.0,13,1.0,51
NA,108.0,19,1.0,40
133.0,109.0,161,1.0,54
4.0,110.0,45,21.0,41
39.0,111.0,74,1.0,62
54.0,112.0,104,1.0,65
24.0,113.0,56,1.0,61
2.0,114.0,20,1.0,50
10.0,115.0,36,1.0,56
85.0,116.0,394,1.0,41
25.0,117.0,47,1.0,27
276.0,118.0,397,1.0,67
15.0,119.0,180,1.0,51
1.0,120.0,8,8.0,52
19.0,121.0,93,1.0,32
63.0,122.0,111,1.0,56
114.0,123.0,125,1.0,71
9.0,124.0,18,14.0,57
33.0,125.0,111,1.0,44
48.0,126.0,112,1.0,22
6.0,127.0,29,20.0,62
52.0,128.0,144,48.0,38
37.0,129.0,94,1.0,67
110.0,130.0,375,48.0,38
82.0,131.0,96,1.0,73
NA,132.0,17,14.0,79
NA,133.0,34,1.0,55
72.0,134.0,264,1.0,38
114.0,135.0,425,72.0,23
68.0,136.0,700,72.0,39
39.0,137.0,112,48.0,49
130.0,138.0,150,1.0,38
2.0,139.0,31,21.0,73
59.0,140.0,82,15.0,60
29.0,141.0,157,1.0,39
11.0,142.0,23,1.0,23
NA,143.0,3,6.0,66
221.0,144.0,395,48.0,77
68.0,145.0,166,1.0,78
163.0,146.0,210,22.0,41
58.0,147.0,152,48.0,61
49.0,148.0,264,48.0,17
NA,149.0,19,1.0,36
182.0,150.0,350,72.0,37
