comments,rank,score,age,title_length
61.0,1.0,234,3.0,78
112.0,2.0,906,10.0,60
120.0,3.0,155,6.0,62
37.0,4.0,107,5.0,75
2.0,5.0,11,0.95,80
3.0,6.0,37,3.0,42
36.0,7.0,67,3.0,41
9.0,8.0,57,4.0,66
21.0,9.0,46,3.0,31
4.0,10.0,46,3.0,77
8.0,11.0,20,2.0,60
21.0,12.0,72,6.0,71
15.0,13.0,100,4.0,31
7.0,14.0,19,2.0,40
131.0,15.0,134,NA,75
279.0,16.0,320,10.0,74
NA,17.0,4,1.0,50
96.0,18.0,245,13.0,31
NA,19.0,5,1.0,74
15.0,20.0,26,5.0,28
167.0,21.0,453,7.0,63
11.0,22.0,44,5.0,46
NA,23.0,16,3.0,48
NA,24.0,0,2.0,64
13.0,25.0,65,8.0,48
135.0,26.0,174,11.0,56
108.0,27.0,175,7.0,36
31.0,28.0,118,4.0,35
8.0,29.0,35,6.0,27
21.0,30.0,48,9.0,61
76.0,31.0,88,10.0,73
NA,32.0,9,1.0,62
125.0,33.0,174,4.0,41
268.0,34.0,377,10.0,67
106.0,35.0,197,NA,69
140.0,36.0,201,5.0,19
2.0,37.0,20,2.0,41
36.0,38.0,71,15.0,62
28.0,39.0,24,7.0,55
109.0,40.0,131,12.0,38
19.0,41.0,87,14.0,32
95.0,42.0,103,11.0,44
NA,43.0,18,2.0,73
114.0,44.0,165,10.0,23
61.0,45.0,134,5.0,78
NA,46.0,15,9.0,55
4.0,47.0,23,4.0,32
4.0,48.0,5,5.0,60
95.0,49.0,244,19.0,60
8.0,50.0,7,1.0,63
187.0,51.0,230,11.0,71
62.0,52.0,169,16.0,26
NA,53.0,11,9.0,51
50.0,54.0,91,9.0,65
47.0,55.0,100,12.0,49
203.0,56.0,364,15.0,22
NA,57.0,9,8.0,47
NA,58.0,10,2.0,21
NA,59.0,17,12.0,40
NA,60.0,6,2.0,78
83.0,61.0,303,1.0,41
NA,62.0,5,2.0,76
622.0,63.0,1466,1.0,13
3.0,64.0,23,4.0,80
15.0,65.0,53,9.0,59
385.0,66.0,458,NA,58
206.0,67.0,767,1.0,68
2.0,68.0,13,11.0,50
106.0,69.0,112,8.0,71
129.0,70.0,156,16.0,54
55.0,71.0,157,22.0,30
NA,72.0,6,3.0,80
31.0,73.0,105,15.0,44
22.0,74.0,74,6.0,22
17.0,75.0,49,20.0,43
6.0,76.0,35,20.0,56
10.0,77.0,22,14.0,23
1.0,78.0,17,6.0,74
408.0,79.0,641,1.0,32
33.0,80.0,88,11.0,22
297.0,81.0,337,1.0,39
3.0,82.0,5,3.0,77
78.0,83.0,386,22.0,41
31.0,84.0,87,17.0,67
7.0,85.0,31,NA,59
46.0,86.0,309,1.0,70
3.0,87.0,12,5.0,38
1.0,88.0,5,4.0,74
13.0,89.0,175,1.0,51
6.0,90.0,14,6.0,76
6.0,91.0,14,6.0,76
47.0,92.0,106,1.0,22
72.0,93.0,261,1.0,38
22.0,94.0,76,15.0,69
NA,95.0,5,3.0,53
51.0,96.0,143,1.0,38
235.0,97.0,297,16.0,55
160.0,98.0,448,48.0,55
28.0,99.0,155,1.0,39
9.0,100.0,49,19.0,32
39.0,101.0,110,1.0,49
17.0,102.0,30,11.0,34
218.0,103.0,392,1.0,77
2.0,104.0,19,10.0,76
71.0,105.0,99,22.0,80
40.0,106.0,74,12.0,23
42.0,107.0,89,1.0,47
31.0,108.0,118,1.0,31
7.0,109.0,29,1.0,32
1.0,110.0,17,1.0,80
58.0,111.0,150,1.0,61
110.0,112.0,371,48.0,38
NA,113.0,16,1.0,36
44.0,114.0,76,22.0,33
57.0,115.0,258,1.0,35
112.0,116.0,415,48.0,23
NA,117.0,13,18.0,44
NA,118.0,7,5.0,53
8.0,119.0,104,1.0,42
49.0,120.0,258,1.0,17
8.0,121.0,32,8.0,73
434.0,122.0,220,1.0,48
NA,123.0,16,10.0,31
67.0,124.0,693,72.0,39
179.0,125.0,348,48.0,37
NA,126.0,5,7.0,56
NA,127.0,5,7.0,72
31.0,128.0,197,1.0,28
NA,129.0,6,13.0,58
NA,130.0,3,5.0,76
100.0,131.0,82,11.0,33
NA,132.0,4,13.0,34
127.0,133.0,233,48.0,38
16.0,134.0,92,1.0,21
21.0,135.0,65,1.0,60
186.0,136.0,315,48.0,28
210.0,137.0,287,1.0,56
1.0,138.0,7,7.0,70
7.0,139.0,63,1.0,47
NA,140.0,10,5.0,55
3.0,141.0,19,1.0,18
30.0,142.0,487,48.0,35
2.0,143.0,3,NA,38
6.0,144.0,9,10.0,79
10.0,145.0,35,22.0,75
620.0,146.0,429,1.0,29
78.0,147.0,333,1.0,72
NA,148.0,4,6.0,50
NA,149.0,6,8.0,45
NA,150.0,6,8.0,43
