comments,rank,score,age,title_length
1.0,1.0,53,0.8833333333333333,41
85.0,2.0,148,1.0,34
13.0,3.0,46,1.0,18
38.0,4.0,75,0.75,76
11.0,5.0,62,3.0,63
5.0,6.0,85,4.0,21
NA,7.0,6,0.38333333333333336,64
42.0,8.0,145,8.0,74
66.0,9.0,82,3.0,76
76.0,10.0,87,2.0,70
NA,11.0,8,1.0,75
NA,12.0,26,4.0,43
8.0,13.0,88,8.0,80
5.0,14.0,65,7.0,18
4.0,15.0,20,0.6833333333333333,58
NA,16.0,40,1.0,55
80.0,17.0,131,1.0,64
26.0,18.0,102,3.0,51
67.0,19.0,34,6.0,45
NA,20.0,3,2.0,17
175.0,21.0,180,9.0,66
86.0,22.0,181,8.0,63
NA,23.0,4,3.0,37
46.0,24.0,301,15.0,67
433.0,25.0,864,1.0,37
15.0,26.0,37,1.0,80
78.0,27.0,372,20.0,68
177.0,28.0,121,3.0,41
10.0,29.0,36,13.0,75
317.0,30.0,795,19.0,11
117.0,31.0,149,16.0,51
NA,32.0,0,NA,72
33.0,33.0,132,17.0,56
108.0,34.0,57,2.0,48
212.0,35.0,1559,48.0,60
359.0,36.0,493,1.0,76
13.0,37.0,155,20.0,33
5.0,38.0,83,16.0,52
19.0,39.0,158,21.0,30
204.0,40.0,225,16.0,47
23.0,41.0,135,20.0,52
304.0,42.0,570,1.0,39
70.0,43.0,137,20.0,24
19.0,44.0,96,18.0,66
87.0,45.0,242,1.0,32
29.0,46.0,70,NA,41
75.0,47.0,183,1.0,70
38.0,48.0,109,21.0,70
96.0,49.0,107,8.0,24
49.0,50.0,28,NA,80
67.0,51.0,185,1.0,49
62.0,52.0,131,14.0,37
217.0,53.0,224,21.0,60
29.0,54.0,111,1.0,68
55.0,55.0,202,1.0,15
6.0,56.0,37,12.0,41
50.0,57.0,91,23.0,33
6.0,58.0,62,20.0,56
62.0,59.0,144,1.0,65
34.0,60.0,50,14.0,33
13.0,61.0,72,22.0,46
34.0,62.0,50,14.0,33
28.0,63.0,64,23.0,44
6.0,64.0,43,17.0,73
56.0,65.0,115,16.0,46
22.0,66.0,156,1.0,16
11.0,67.0,96,22.0,59
44.0,68.0,224,1.0,75
15.0,69.0,26,11.0,59
329.0,70.0,326,20.0,39
NA,71.0,17,12.0,55
156.0,72.0,367,1.0,80
5.0,73.0,22,10.0,61
20.0,74.0,88,7.0,61
32.0,75.0,62,20.0,63
213.0,76.0,299,1.0,62
73.0,77.0,135,1.0,32
82.0,78.0,297,1.0,53
68.0,79.0,176,1.0,74
100.0,80.0,319,48.0,31
354.0,81.0,438,48.0,74
20.0,82.0,206,1.0,42
65.0,83.0,76,21.0,56
40.0,84.0,48,19.0,66
6.0,85.0,37,18.0,50
4.0,86.0,14,10.0,65
135.0,87.0,185,1.0,41
135.0,88.0,175,17.0,43
89.0,89.0,169,1.0,31
1.0,90.0,47,1.0,61
2.0,91.0,37,22.0,40
22.0,92.0,56,14.0,24
92.0,93.0,53,10.0,44
37.0,94.0,141,1.0,77
52.0,95.0,106,21.0,48
197.0,96.0,483,1.0,78
20.0,97.0,28,18.0,55
2.0,98.0,22,20.0,62
128.0,99.0,251,48.0,60
334.0,100.0,301,1.0,33
NA,101.0,31,48.0,47
NA,102.0,6,22.0,63
93.0,103.0,237,1.0,62
31.0,104.0,129,1.0,71
151.0,105.0,176,NA,75
NA,106.0,18,19.0,67
6.0,107.0,17,14.0,20
11.0,108.0,36,1.0,49
15.0,109.0,111,1.0,48
3.0,110.0,27,16.0,49
65.0,111.0,154,1.0,69
78.0,112.0,155,NA,52
27.0,113.0,23,1.0,60
26.0,114.0,134,1.0,48
23.0,115.0,81,1.0,49
1.0,116.0,14,1.0,59
137.0,117.0,142,1.0,33
13.0,118.0,43,19.0,65
59.0,119.0,206,1.0,35
NA,120.0,16,1.0,45
31.0,121.0,122,1.0,46
66.0,122.0,179,48.0,26
200.0,123.0,336,1.0,62
15.0,124.0,23,1.0,43
129.0,125.0,204,1.0,56
NA,126.0,9,14.0,64
20.0,127.0,97,1.0,66
4.0,128.0,82,1.0,50
58.0,129.0,234,1.0,31
77.0,130.0,129,1.0,58
214.0,131.0,406,1.0,60
2.0,132.0,15,NA,64
NA,133.0,21,23.0,45
18.0,134.0,61,48.0,43
224.0,135.0,389,48.0,22
13.0,136.0,65,1.0,56
158.0,137.0,197,48.0,56
8.0,138.0,54,1.0,80
5.0,139.0,14,17.0,69
18.0,140.0,35,21.0,34
35.0,141.0,28,1.0,55
204.0,142.0,659,1.0,63
77.0,143.0,123,1.0,40
164.0,144.0,104,1.0,29
413.0,145.0,524,NA,58
3.0,146.0,6,1.0,68
73.0,147.0,174,1.0,57
57.0,148.0,117,48.0,49
35.0,149.0,56,1.0,28
NA,150.0,6,1.0,31
