comments,rank,score,age,title_length
4.0,1.0,70,0.9166666666666666,68
30.0,2.0,58,1.0,60
9.0,3.0,34,0.8833333333333333,52
162.0,4.0,419,7.0,37
3.0,5.0,32,2.0,70
229.0,6.0,341,4.0,39
3.0,7.0,14,0.8666666666666667,63
4.0,8.0,24,1.0,30
1.0,9.0,14,1.0,56
10.0,10.0,37,3.0,33
NA,11.0,0,0.7166666666666667,33
1.0,12.0,6,0.6,33
38.0,13.0,65,2.0,48
65.0,14.0,172,8.0,32
12.0,15.0,71,5.0,68
43.0,16.0,152,8.0,49
13.0,17.0,30,3.0,44
1.0,18.0,18,2.0,40
32.0,19.0,44,1.0,56
54.0,20.0,120,8.0,65
1.0,21.0,14,2.0,46
22.0,22.0,43,5.0,58
21.0,23.0,74,7.0,70
33.0,24.0,32,4.0,24
4.0,25.0,26,1.0,64
52.0,26.0,190,11.0,15
64.0,27.0,182,5.0,62
140.0,28.0,325,11.0,80
12.0,29.0,69,5.0,49
6.0,30.0,48,4.0,56
267.0,31.0,275,5.0,33
55.0,32.0,139,6.0,69
325.0,33.0,448,15.0,76
2.0,34.0,29,2.0,59
206.0,35.0,1457,1.0,60
63.0,36.0,128,NA,52
13.0,37.0,14,6.0,43
2.0,38.0,11,1.0,36
66.0,39.0,117,8.0,32
1.0,40.0,10,5.0,61
113.0,41.0,184,4.0,56
73.0,42.0,277,8.0,53
19.0,43.0,152,16.0,16
66.0,44.0,169,13.0,57
144.0,45.0,96,5.0,29
58.0,46.0,161,13.0,74
69.0,47.0,120,6.0,58
8.0,48.0,12,7.0,41
44.0,49.0,222,1.0,75
205.0,50.0,292,1.0,62
NA,51.0,6,3.0,45
48.0,52.0,107,6.0,62
15.0,53.0,196,22.0,42
109.0,54.0,106,3.0,66
80.0,55.0,168,23.0,31
341.0,56.0,429,1.0,74
127.0,57.0,178,23.0,41
125.0,58.0,137,16.0,33
174.0,59.0,474,23.0,78
35.0,60.0,138,23.0,77
100.0,61.0,306,1.0,31
NA,62.0,8,10.0,59
NA,63.0,14,13.0,45
15.0,64.0,108,23.0,48
440.0,65.0,319,10.0,56
178.0,66.0,327,17.0,62
28.0,67.0,127,1.0,71
50.0,68.0,75,6.0,68
150.0,69.0,172,NA,75
212.0,70.0,789,48.0,68
17.0,71.0,37,10.0,57
9.0,72.0,27,21.0,49
211.0,73.0,395,19.0,60
118.0,74.0,248,1.0,60
NA,75.0,27,1.0,47
1.0,76.0,3,3.0,73
4.0,77.0,81,21.0,50
NA,78.0,5,4.0,40
55.0,79.0,203,1.0,35
20.0,80.0,96,1.0,66
8.0,81.0,52,20.0,80
25.0,82.0,132,1.0,48
29.0,83.0,117,1.0,46
58.0,84.0,233,1.0,31
12.0,85.0,34,3.0,67
73.0,86.0,119,22.0,40
635.0,87.0,1488,48.0,13
23.0,88.0,19,1.0,60
84.0,89.0,309,1.0,41
64.0,90.0,179,1.0,26
35.0,91.0,28,1.0,55
56.0,92.0,59,22.0,60
200.0,93.0,657,1.0,63
6.0,94.0,12,20.0,63
46.0,95.0,168,5.0,36
2.0,96.0,41,15.0,68
1.0,97.0,40,20.0,78
6.0,98.0,6,2.0,70
32.0,99.0,55,1.0,28
46.0,100.0,316,48.0,70
221.0,101.0,386,1.0,22
157.0,102.0,195,1.0,56
5.0,103.0,21,21.0,74
61.0,104.0,165,1.0,30
302.0,105.0,342,48.0,39
180.0,106.0,245,1.0,19
17.0,107.0,61,1.0,43
132.0,108.0,237,1.0,36
443.0,109.0,659,48.0,32
54.0,110.0,116,1.0,49
160.0,111.0,452,72.0,55
409.0,112.0,506,NA,58
142.0,113.0,236,NA,69
20.0,114.0,22,14.0,35
3.0,115.0,21,1.0,50
133.0,116.0,162,1.0,54
NA,117.0,13,1.0,51
NA,118.0,19,1.0,40
224.0,119.0,254,1.0,71
39.0,120.0,74,1.0,62
24.0,121.0,57,1.0,61
4.0,122.0,45,22.0,41
54.0,123.0,104,1.0,65
10.0,124.0,36,1.0,56
85.0,125.0,394,1.0,41
25.0,126.0,47,1.0,27
15.0,127.0,180,1.0,51
276.0,128.0,397,1.0,67
19.0,129.0,93,1.0,32
82.0,130.0,97,1.0,73
63.0,131.0,111,1.0,56
48.0,132.0,112,1.0,22
52.0,133.0,144,48.0,38
33.0,134.0,111,1.0,44
114.0,135.0,125,1.0,71
111.0,136.0,375,48.0,38
37.0,137.0,94,1.0,67
6.0,138.0,29,21.0,62
72.0,139.0,264,1.0,38
1.0,140.0,8,9.0,52
NA,141.0,35,1.0,55
9.0,142.0,18,15.0,57
114.0,143.0,425,72.0,23
68.0,144.0,702,72.0,39
NA,145.0,17,16.0,79
39.0,146.0,112,48.0,49
2.0,147.0,32,22.0,73
130.0,148.0,150,1.0,38
29.0,149.0,157,48.0,39
221.0,150.0,395,48.0,77
