comments,rank,score,age,title_length
4.0,1.0,26,0.7833333333333333,58
16.0,2.0,70,2.0,49
15.0,3.0,58,2.0,65
NA,4.0,11,0.48333333333333334,62
218.0,5.0,338,9.0,76
34.0,6.0,128,5.0,15
88.0,7.0,198,5.0,80
1.0,8.0,14,0.25,73
5.0,9.0,25,1.0,41
15.0,10.0,106,10.0,16
4.0,11.0,42,2.0,32
46.0,12.0,70,2.0,32
159.0,13.0,446,17.0,78
188.0,14.0,1353,1.0,60
36.0,15.0,161,2.0,53
42.0,16.0,143,7.0,57
260.0,17.0,230,4.0,56
NA,18.0,3,0.13333333333333333,68
52.0,19.0,119,7.0,74
188.0,20.0,349,13.0,60
4.0,21.0,74,15.0,50
8.0,22.0,50,14.0,80
6.0,23.0,9,NA,44
44.0,24.0,210,19.0,75
89.0,25.0,105,10.0,33
NA,26.0,0,5.0,61
179.0,27.0,282,20.0,62
12.0,28.0,176,16.0,42
74.0,29.0,152,17.0,31
105.0,30.0,164,17.0,41
333.0,31.0,422,1.0,74
153.0,32.0,313,11.0,62
31.0,33.0,129,17.0,77
99.0,34.0,300,1.0,31
10.0,35.0,99,16.0,48
28.0,36.0,120,20.0,71
145.0,37.0,168,NA,75
18.0,38.0,95,18.0,66
53.0,39.0,189,18.0,35
52.0,40.0,220,17.0,31
23.0,41.0,113,19.0,46
25.0,42.0,129,21.0,48
NA,43.0,21,22.0,47
1.0,44.0,34,9.0,68
109.0,45.0,248,1.0,60
1.0,46.0,6,3.0,52
6.0,47.0,12,14.0,63
211.0,48.0,784,48.0,68
49.0,49.0,58,16.0,60
71.0,50.0,110,16.0,40
5.0,51.0,20,15.0,74
15.0,52.0,15,19.0,60
1.0,53.0,37,14.0,78
6.0,54.0,16,15.0,49
629.0,55.0,1480,1.0,13
1.0,56.0,9,4.0,57
197.0,57.0,639,20.0,63
34.0,58.0,27,20.0,55
84.0,59.0,306,1.0,41
63.0,60.0,178,1.0,26
63.0,61.0,178,1.0,26
29.0,62.0,54,19.0,28
172.0,63.0,238,19.0,19
156.0,64.0,194,1.0,56
16.0,65.0,16,8.0,35
129.0,66.0,232,20.0,36
215.0,67.0,381,1.0,22
60.0,68.0,163,1.0,30
51.0,69.0,114,1.0,49
46.0,70.0,315,48.0,70
216.0,71.0,250,1.0,71
301.0,72.0,341,1.0,39
NA,73.0,13,23.0,51
NA,74.0,15,9.0,79
133.0,75.0,229,NA,69
406.0,76.0,499,NA,58
17.0,77.0,56,1.0,43
435.0,78.0,654,1.0,32
NA,79.0,19,1.0,40
4.0,80.0,40,16.0,41
8.0,81.0,15,9.0,57
54.0,82.0,103,23.0,65
24.0,83.0,56,23.0,61
24.0,84.0,47,20.0,27
55.0,85.0,80,10.0,60
6.0,86.0,29,15.0,62
131.0,87.0,160,1.0,54
38.0,88.0,74,1.0,62
2.0,89.0,20,1.0,50
270.0,90.0,393,1.0,67
10.0,91.0,35,1.0,56
157.0,92.0,209,17.0,41
160.0,93.0,452,48.0,55
19.0,94.0,92,1.0,32
84.0,95.0,391,1.0,41
113.0,96.0,124,22.0,71
82.0,97.0,95,1.0,73
15.0,98.0,180,1.0,51
33.0,99.0,110,1.0,44
2.0,100.0,30,16.0,73
NA,101.0,33,23.0,55
63.0,102.0,110,1.0,56
68.0,103.0,163,19.0,78
48.0,104.0,111,1.0,22
35.0,105.0,92,1.0,67
130.0,106.0,149,1.0,38
52.0,107.0,144,1.0,38
72.0,108.0,263,1.0,38
11.0,109.0,32,18.0,32
11.0,110.0,23,1.0,23
110.0,111.0,372,48.0,38
18.0,112.0,65,22.0,59
39.0,113.0,112,1.0,49
29.0,114.0,156,1.0,39
6.0,115.0,43,18.0,80
113.0,116.0,424,48.0,23
13.0,117.0,41,NA,59
221.0,118.0,394,1.0,77
67.0,119.0,700,72.0,39
NA,120.0,19,1.0,36
58.0,121.0,151,48.0,61
17.0,122.0,18,15.0,63
7.0,123.0,31,1.0,32
35.0,124.0,92,1.0,22
49.0,125.0,263,48.0,17
32.0,126.0,120,1.0,31
181.0,127.0,349,48.0,37
119.0,128.0,172,1.0,23
105.0,129.0,104,1.0,44
57.0,130.0,262,1.0,35
22.0,131.0,79,1.0,69
42.0,132.0,89,1.0,47
12.0,133.0,51,1.0,32
1.0,134.0,18,1.0,80
74.0,135.0,100,1.0,80
NA,136.0,14,15.0,78
127.0,137.0,236,48.0,38
187.0,138.0,315,72.0,28
2.0,139.0,23,19.0,74
8.0,140.0,105,1.0,42
22.0,141.0,20,NA,56
30.0,142.0,490,72.0,35
44.0,143.0,79,1.0,33
NA,144.0,3,7.0,53
NA,145.0,4,7.0,66
437.0,146.0,220,1.0,48
NA,147.0,17,1.0,44
2.0,148.0,9,9.0,39
249.0,149.0,303,1.0,55
31.0,150.0,200,1.0,28
