comments,rank,score,age,title_length
39.0,1.0,73,0.65,67
54.0,2.0,87,1.0,71
28.0,3.0,43,1.0,44
34.0,4.0,112,3.0,31
19.0,5.0,32,1.0,56
4.0,6.0,12,0.23333333333333334,38
48.0,7.0,119,5.0,26
60.0,8.0,188,9.0,60
129.0,9.0,215,5.0,22
NA,10.0,0,0.5166666666666667,44
9.0,11.0,61,4.0,32
30.0,12.0,42,4.0,62
217.0,13.0,241,NA,58
11.0,14.0,36,2.0,49
28.0,15.0,129,12.0,30
49.0,16.0,44,1.0,33
NA,17.0,7,2.0,40
19.0,18.0,56,6.0,67
20.0,19.0,54,1.0,22
61.0,20.0,335,12.0,34
1.0,21.0,4,1.0,56
8.0,22.0,159,14.0,51
50.0,23.0,93,12.0,56
18.0,24.0,68,4.0,44
11.0,25.0,13,1.0,34
90.0,26.0,119,6.0,54
18.0,27.0,50,2.0,23
NA,28.0,4,0.48333333333333334,33
182.0,29.0,260,5.0,55
34.0,30.0,85,14.0,47
68.0,31.0,288,16.0,41
NA,32.0,5,2.0,58
10.0,33.0,33,10.0,43
4.0,34.0,30,10.0,56
1.0,35.0,6,4.0,23
598.0,36.0,1452,21.0,13
NA,37.0,6,NA,69
16.0,38.0,61,5.0,69
1.0,39.0,13,2.0,51
382.0,40.0,616,19.0,32
9.0,41.0,46,9.0,32
206.0,42.0,756,1.0,68
39.0,43.0,100,14.0,22
287.0,44.0,327,22.0,39
43.0,45.0,72,12.0,33
2.0,46.0,7,1.0,74
69.0,47.0,249,16.0,38
44.0,48.0,295,1.0,70
56.0,49.0,94,11.0,80
NA,50.0,11,8.0,44
41.0,51.0,140,21.0,38
28.0,52.0,152,18.0,39
39.0,53.0,108,20.0,49
214.0,54.0,385,20.0,77
29.0,55.0,117,20.0,31
NA,56.0,12,15.0,36
57.0,57.0,254,20.0,35
5.0,58.0,27,19.0,32
160.0,59.0,441,1.0,55
8.0,60.0,101,19.0,42
58.0,61.0,147,1.0,61
29.0,62.0,185,17.0,28
411.0,63.0,217,20.0,48
194.0,64.0,277,20.0,56
20.0,65.0,63,17.0,60
109.0,66.0,362,1.0,38
9.0,67.0,32,12.0,75
15.0,68.0,91,21.0,21
47.0,69.0,256,1.0,17
111.0,70.0,398,1.0,23
2.0,71.0,17,20.0,18
4.0,72.0,17,6.0,30
NA,73.0,9,15.0,80
7.0,74.0,61,22.0,47
604.0,75.0,423,19.0,29
177.0,76.0,346,1.0,37
3.0,77.0,19,10.0,77
23.0,78.0,118,18.0,56
127.0,79.0,231,1.0,38
21.0,80.0,55,20.0,57
77.0,81.0,328,23.0,72
67.0,82.0,690,48.0,39
21.0,83.0,47,18.0,62
2.0,84.0,24,12.0,54
16.0,85.0,17,8.0,55
182.0,86.0,312,48.0,28
29.0,87.0,101,17.0,32
1.0,88.0,32,21.0,59
7.0,89.0,18,13.0,56
40.0,90.0,209,1.0,66
7.0,91.0,43,18.0,71
27.0,92.0,136,18.0,9
3.0,93.0,13,23.0,72
NA,94.0,3,12.0,80
1.0,95.0,16,4.0,50
45.0,96.0,127,1.0,18
33.0,97.0,237,NA,59
30.0,98.0,486,48.0,35
NA,99.0,32,13.0,76
201.0,100.0,252,1.0,29
10.0,101.0,29,19.0,20
76.0,102.0,93,19.0,70
132.0,103.0,446,72.0,56
4.0,104.0,22,13.0,66
NA,105.0,24,14.0,70
26.0,106.0,38,21.0,75
63.0,107.0,221,48.0,59
NA,108.0,30,22.0,18
109.0,109.0,85,21.0,56
1.0,110.0,5,7.0,79
64.0,111.0,124,1.0,31
2.0,112.0,42,1.0,40
144.0,113.0,252,21.0,31
104.0,114.0,105,23.0,61
35.0,115.0,76,21.0,36
1.0,116.0,27,20.0,46
138.0,117.0,261,48.0,27
22.0,118.0,140,23.0,64
NA,119.0,5,16.0,44
53.0,120.0,141,48.0,43
43.0,121.0,75,23.0,54
18.0,122.0,154,1.0,75
25.0,123.0,196,48.0,37
NA,124.0,8,12.0,28
7.0,125.0,28,18.0,20
NA,126.0,8,11.0,72
74.0,127.0,151,48.0,64
2.0,128.0,19,23.0,30
69.0,129.0,160,1.0,44
NA,130.0,10,14.0,58
6.0,131.0,86,1.0,74
452.0,132.0,1720,1.0,41
14.0,133.0,114,1.0,18
128.0,134.0,105,48.0,43
3.0,135.0,18,14.0,37
20.0,136.0,80,48.0,54
5.0,137.0,92,48.0,21
101.0,138.0,224,72.0,69
32.0,139.0,65,1.0,71
132.0,140.0,305,1.0,37
64.0,141.0,140,48.0,32
69.0,142.0,117,48.0,34
22.0,143.0,167,48.0,25
62.0,144.0,50,22.0,64
6.0,145.0,27,1.0,35
115.0,146.0,108,48.0,74
8.0,147.0,31,48.0,52
7.0,148.0,193,48.0,40
98.0,149.0,237,72.0,29
7.0,150.0,48,48.0,47
